phi,subsystem,etaBefore,etaAfter,X0Before,X0After,deltaX0,deltaLambdaI,topVolume,topVolumeDeltaX0
1.5707963267949,OHCAL,1.025,1.03,45.03270174,43.74796493,-1.284736813,-0.1342587568,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,-1.285794521
1.5707963267949,OHCAL,1.03,1.035,43.74796493,42.4661831,-1.281781825,-0.1339453492,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,-1.28284638
1.5707963267949,OHCAL,1.035,1.04,42.4661831,41.18722379,-1.278959317,-0.1336458271,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,-1.280030746
1.5707963267949,OHCAL,1.04,1.045,41.18722379,39.91095657,-1.276267214,-0.1333599726,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,-1.277345542
1.5707963267949,OHCAL,1.045,1.05,39.91095657,38.63725308,-1.273703489,-0.1330875731,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,-1.274788745
1.5707963267949,OHCAL,1.05,1.055,38.63725308,37.36598654,-1.271266547,-0.1328284611,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,-1.272358757
0,OHCAL,1.07,1.075,35.01046753,33.744316,-1.266151528,-0.1326999323,av_13_impr_23_OuterHCalSector_Steel_pv_0,-1.263863395
0,OHCAL,-1.08,-1.075,33.74446536,35.01061526,1.266149904,0.132699762,av_13_impr_23_OuterHCalSector_Steel_pv_0,1.263861771
0,OHCAL,-1.085,-1.08,32.48018944,33.74446536,1.264275923,0.1324943489,av_13_impr_23_OuterHCalSector_Steel_pv_0,1.262037634
0,OHCAL,1.075,1.08,33.744316,32.4800404,-1.264275606,-0.1324943157,av_13_impr_23_OuterHCalSector_Steel_pv_0,-1.262037317
1.5707963267949,OHCAL,1.07,1.075,33.56557411,32.30283101,-1.262743093,-0.1319203211,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,-1.263863395
0,OHCAL,-1.09,-1.085,31.21767332,32.48018944,1.262516121,0.1323009792,av_13_impr_23_OuterHCalSector_Steel_pv_0,1.260327069
0,OHCAL,1.08,1.085,32.4800404,31.21752459,-1.262515809,-0.1323009463,av_13_impr_23_OuterHCalSector_Steel_pv_0,-1.260326757
1.5707963267949,OHCAL,1.075,1.08,32.30283101,31.04192109,-1.260909922,-0.1317244829,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,-1.262037317
1.5707963267949,OHCAL,1.08,1.085,31.04192109,29.78272885,-1.259192241,-0.1315407469,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,-1.260326757
0,OHCAL,1.085,1.09,31.21752459,29.96207915,-1.255445435,-0.1375933505,av_13_impr_23_OuterHCalSector_Steel_pv_0,-1.241121836
1.5707963267949,OHCAL,1.085,1.09,29.78272885,28.53056549,-1.252163362,-0.1368426421,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,-1.241121836
1.5707963267949,MAGNET,-1.035,-1.03,4.750479495,3.505312219,-1.245167276,-0.1302954503,BusbarD,-1.130838772
1.5707963267949,MAGNET,-1.03,-1.025,3.505312219,2.261038192,-1.244274027,-0.1298929914,BusbarD,-1.132288962
0,OHCAL,-1.095,-1.09,29.97426971,31.21767332,1.243403609,0.1302871774,av_13_impr_23_OuterHCalSector_Steel_pv_0,1.241263201
1.5707963267949,OHCAL,-0.935,-0.93,20.92243741,19.68020097,-1.242236445,-0.1308343235,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,-1.241208797
1.5707963267949,MAGNET,-1.025,-1.02,2.261038192,1.023250815,-1.237787377,-0.1281963011,BusbarD,-1.133847858
1.5707963267949,OHCAL,0.95,0.955,47.44923903,46.24127542,-1.207963611,-0.1259757403,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,-1.209482292
1.5707963267949,MAGNET,-1.065,-1.06,3.623195782,4.752935951,1.12974017,0.1038930477,BusbarD,1.130844371
1.5707963267949,MAGNET,-1.07,-1.065,2.494590651,3.623195782,1.128605131,0.1037839333,BusbarD,1.129742871
1.5707963267949,MAGNET,-1.075,-1.07,1.367020077,2.494590651,1.127570574,0.1036841003,BusbarD,1.12874165
1.5707963267949,OHCAL,0.705,0.71,44.88146085,43.76941014,-1.112050711,-0.1159978751,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,-1.113399069
1.5707963267949,OHCAL,-0.715,-0.71,43.76944163,44.88149154,1.112049919,0.1159977921,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,1.113398278
1.5707963267949,OHCAL,1.065,1.07,34.67594062,33.56557411,-1.110366514,-0.1159378037,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,-1.111479751
0,OHCAL,1.065,1.07,36.05908153,35.01046753,-1.048614001,-0.101813154,av_13_impr_23_OuterHCalSector_Steel_pv_0,-1.111479751
0,OHCAL,-1.075,-1.07,35.01061526,36.05919972,1.048584454,0.1018065239,av_13_impr_23_OuterHCalSector_Steel_pv_0,1.111478715
0,OHCAL,-0.885,-0.88,43.44383863,42.39701177,-1.046826856,-0.1105031193,av_13_impr_23_OuterHCalSector_Steel_pv_0,-1.045457543
1.5707963267949,OHCAL,0.875,0.88,42.39717037,43.44383845,1.046668079,0.1104864619,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,1.045298767
0,OHCAL,0.875,0.88,42.39717037,43.44383845,1.046668079,0.1104864619,av_13_impr_23_OuterHCalSector_Steel_pv_0,1.045298767
1.5707963267949,OHCAL,-1.055,-1.05,12.88452731,13.91327627,1.028748953,0.10764502,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,1.029318199
0,OHCAL,-0.025,-0.02,35.17711912,36.18771449,1.010595371,0.1060055047,av_13_impr_23_OuterHCalSector_Steel_pv_0,1.010630343
0,OHCAL,0.015,0.02,36.18771458,35.17711939,-1.010595194,-0.1060054861,av_13_impr_23_OuterHCalSector_Steel_pv_0,-1.010630166
0,OHCAL,-0.96,-0.955,48.33290951,49.3313752,0.9984656916,0.07969683396,av_13_impr_23_OuterHCalSector_Steel_pv_0,1.207231353
0,OHCAL,0.95,0.955,49.32740744,48.32904805,-0.9983593974,-0.07969653376,av_13_impr_23_OuterHCalSector_Steel_pv_0,-1.207080405
1.5707963267949,OHCAL,-1.03,-1.025,18.69451051,19.63328694,0.9387764329,0.09821482948,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,0.9393276526
1.5707963267949,OHCAL,0.93,0.935,45.43810481,46.3716862,0.9335813879,0.09866761282,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,0.9321209056
